abbrev,        name,                                        scalerank,        type,             location,                                   country,                        city,                           city_location,              elevation
ROV,           Rostov-on-Don,                               8,                mid,              POINT(39.8035144445391 47.2551119519754),   Russia,                         Bataysk,                        POINT(39.7333 47.1667),     86.0
RTW,           Saratov,                                     8,                mid,              POINT(46.035023249891 51.5606456508842),    Russia,                         Saratov,                        POINT(46.0167 51.5333),     
SAP,           Ramón Villeda Morales Int'l,                 8,                mid,              POINT(-87.9272365125409 15.4558630524883),  Honduras,                       San Pedro Sula,                 POINT(-88.0333 15.5),       28.0
SBA,           Santa Barbara Muni.,                         8,                mid,              POINT(-119.8366015808 34.4257312978783),    United States,                  Goleta,                         POINT(-119.8594 34.4361),   
SCC,           Deadhorse,                                   8,                mid,              POINT(-148.457855 70.19751),                ,                               ,,                                                          19.0
SFJ,           Kangerlussuaq,                               8,                mid,              POINT(-50.694199 67.018097),                Greenland,                      Ilulissat,                      POINT(-51.1 69.2167),       51.0
SGF,           Springfield Reg.,                            8,                major,            POINT(-93.3826379012003 37.2421444903024),  United States,                  Republic,                       POINT(-93.4446 37.1452),    
SHV,           Shreveport Reg.,                             8,                major,            POINT(-93.8285222229503 32.4545798866513),  United States,                  Shreveport,                     POINT(-93.7955 32.4653),    79.0
SIP,           Simferopol Int'l,                            8,                major,            POINT(33.9960529244537 45.0202173978165),   Ukraine,                        Hvardiiske,                     POINT(34.0142 45.1142),     195.0
SIT,           Sitka Rocky Gutierrez,                       8,                mid,              POINT(-135.365692 57.05349),                United States,                  Sitka,                          POINT(-135.3152 57.2401),   8.0
SJD,           Los Cabos Int'l,                             8,                major,            POINT(-109.717858386909 23.1626574483597),  Mexico,                         San José del Cabo,              POINT(-109.7081 23.0614),   110.0
SLE,           McNary Field,                                8,                major,            POINT(-123.007871479404 44.9105138452142),  United States,                  Keizer,                         POINT(-123.0243 45.0028),   
